Date Time,Date Time(RAW),Total Online Devices,Total Online Devices(RAW),Speed Bad,Speed Bad(RAW),Speed Good,Speed Good(RAW),Speed Better,Speed Better(RAW),Experience Worse,Experience Worse(RAW),Experience Bad,Experience Bad(RAW),Experience Good,Experience Good(RAW),Experience Better,Experience Better(RAW),Downtime,Downtime(RAW),Coverage,Coverage(RAW)
1-9-2023 22:00:00 - 23:00:00,45170.875,65 #,64.6333,"2,88 #",2.8833,12 #,12.05,50 #,49.7,0 #,0,"1,07 #",1.0667,"0,33 #",0.3333,66 #,65.9833,0%,0,100%,10000
1-9-2023 23:00:00 - 00:00:00,45170.91667,66 #,66.3833,"3,67 #",3.6667,13 #,13.0333,50 #,49.6833,0 #,0,"1,68 #",1.6833,"0,20 #",0.2,68 #,67.5333,0%,0,100%,10000
2-9-2023 00:00:00 - 01:00:00,45170.95833,62 #,62.45,"3,07 #",3.0667,"9,77 #",9.7667,50 #,49.6167,0 #,0,"0,83 #",0.8333,"0,08 #",0.0833,63 #,62.8667,0%,0,100%,10000
2-9-2023 01:00:00 - 02:00:00,45171,60 #,60.1667,"2,77 #",2.7667,11 #,10.7167,47 #,46.6833,0 #,0,"1,90 #",1.9,"0,17 #",0.1667,59 #,58.8333,0%,0,100%,10000
2-9-2023 02:00:00 - 03:00:00,45171.04167,57 #,57.2167,"1,25 #",1.25,11 #,10.8333,45 #,45.1333,0 #,0,"0,68 #",0.6833,"0,18 #",0.1833,57 #,56.8667,0%,0,100%,10000
2-9-2023 03:00:00 - 04:00:00,45171.08333,57 #,56.9667,"1,65 #",1.65,11 #,10.6333,45 #,44.6833,0 #,0,"0,67 #",0.6667,"0,25 #",0.25,57 #,56.5,0%,0,100%,10000
2-9-2023 04:00:00 - 05:00:00,45171.125,57 #,57.0833,"1,33 #",1.3333,"9,17 #",9.1667,47 #,46.5833,0 #,0,"0,92 #",0.9167,"0,18 #",0.1833,57 #,56.5667,0%,0,100%,10000
2-9-2023 05:00:00 - 06:00:00,45171.16667,57 #,57.0833,"0,78 #",0.7833,"9,65 #",9.65,47 #,46.65,0 #,0,"0,82 #",0.8167,"0,18 #",0.1833,57 #,56.9167,0%,0,100%,10000
2-9-2023 06:00:00 - 07:00:00,45171.20833,58 #,57.9,"0,87 #",0.8667,"9,28 #",9.2833,48 #,47.75,0 #,0,"0,97 #",0.9667,0 #,0,57 #,57.2667,0%,0,100%,10000
2-9-2023 07:00:00 - 08:00:00,45171.25,58 #,58.45,"0,68 #",0.6833,"8,90 #",8.9,49 #,48.8667,0 #,0,"0,83 #",0.8333,"0,27 #",0.2667,58 #,58.0167,0%,0,100%,10000
2-9-2023 08:00:00 - 09:00:00,45171.29167,59 #,59.1,"0,88 #",0.8833,11 #,10.95,47 #,47.2667,0 #,0,"1,05 #",1.05,"0,23 #",0.2333,58 #,58.3833,0%,0,100%,10000
2-9-2023 09:00:00 - 10:00:00,45171.33333,59 #,58.6167,"1,15 #",1.15,"8,98 #",8.9833,48 #,48.4833,0 #,0,"0,92 #",0.9167,"0,15 #",0.15,59 #,58.6167,0%,0,100%,10000
2-9-2023 10:00:00 - 11:00:00,45171.375,65 #,64.5,"1,85 #",1.85,12 #,11.75,51 #,50.9,0 #,0,"1,42 #",1.4167,"0,33 #",0.3333,64 #,64.4,0%,0,100%,10000
2-9-2023 11:00:00 - 12:00:00,45171.41667,63 #,63.1667,"0,68 #",0.6833,13 #,12.8,50 #,49.6833,0 #,0,"1,48 #",1.4833,"0,48 #",0.4833,62 #,61.85,0%,0,100%,10000
2-9-2023 12:00:00 - 13:00:00,45171.45833,60 #,60.0667,"1,65 #",1.65,"9,38 #",9.3833,49 #,49.0333,0 #,0,"0,40 #",0.4,"0,33 #",0.3333,59 #,59.3667,0%,0,100%,10000
2-9-2023 13:00:00 - 14:00:00,45171.5,64 #,63.7,"1,53 #",1.5333,"9,62 #",9.6167,53 #,52.55,0 #,0,"0,37 #",0.3667,"0,25 #",0.25,65 #,64.8833,0%,0,100%,10000
2-9-2023 14:00:00 - 15:00:00,45171.54167,64 #,64.15,"0,95 #",0.95,11 #,10.7,53 #,52.5,0 #,0,"0,52 #",0.5167,"0,10 #",0.1,65 #,65.0167,0%,0,100%,10000
2-9-2023 15:00:00 - 16:00:00,45171.58333,68 #,68.2667,"2,02 #",2.0167,12 #,12.45,54 #,53.8,0 #,0,"0,60 #",0.6,"0,57 #",0.5667,68 #,68,0%,0,100%,10000
2-9-2023 16:00:00 - 17:00:00,45171.625,69 #,68.8167,"2,17 #",2.1667,13 #,13.2833,53 #,53.3667,0 #,0,"1,75 #",1.75,"0,70 #",0.7,68 #,67.7333,0%,0,100%,10000
2-9-2023 17:00:00 - 18:00:00,45171.66667,69 #,68.8,"2,07 #",2.0667,12 #,11.95,55 #,54.7833,0 #,0,"1,13 #",1.1333,"0,02 #",0.0167,68 #,68.3833,0%,0,100%,10000
2-9-2023 18:00:00 - 19:00:00,45171.70833,70 #,69.6167,"1,40 #",1.4,12 #,11.7,57 #,56.5167,0 #,0,"0,92 #",0.9167,"0,18 #",0.1833,70 #,69.85,0%,0,100%,10000
2-9-2023 19:00:00 - 20:00:00,45171.75,68 #,68.4167,"0,73 #",0.7333,11 #,11.2,56 #,56.4833,0 #,0,"0,90 #",0.9,"0,18 #",0.1833,69 #,69.45,0%,0,100%,10000
2-9-2023 20:00:00 - 21:00:00,45171.79167,71 #,70.95,"0,92 #",0.9167,12 #,12,58 #,58.0333,0 #,0,"1,05 #",1.05,"0,20 #",0.2,71 #,71.25,0%,0,100%,10000
2-9-2023 21:00:00 - 22:00:00,45171.83333,69 #,69.4167,"1,13 #",1.1333,"9,80 #",9.8,58 #,58.4833,0 #,0,"1,32 #",1.3167,"0,32 #",0.3167,69 #,68.9,0%,0,100%,10000
2-9-2023 22:00:00 - 23:00:00,45171.875,71 #,70.6667,"0,23 #",0.2333,"9,90 #",9.9,61 #,60.5333,0 #,0,"0,95 #",0.95,"0,32 #",0.3167,71 #,70.8667,0%,0,100%,10000
2-9-2023 23:00:00 - 00:00:00,45171.91667,72 #,72.0833,"1,35 #",1.35,"9,80 #",9.8,61 #,60.9333,0 #,0,"1,62 #",1.6167,"0,30 #",0.3,71 #,70.8833,0%,0,100%,10000
3-9-2023 00:00:00 - 01:00:00,45171.95833,68 #,68.4167,"0,90 #",0.9,"7,53 #",7.5333,60 #,59.9833,0 #,0,"0,53 #",0.5333,"0,68 #",0.6833,68 #,68.2667,0%,0,100%,10000
3-9-2023 01:00:00 - 02:00:00,45172,68 #,67.5667,"0,68 #",0.6833,"7,82 #",7.8167,59 #,59.0667,0 #,0,"0,80 #",0.8,"0,23 #",0.2333,68 #,68.2833,0%,0,100%,10000
3-9-2023 02:00:00 - 03:00:00,45172.04167,66 #,65.8333,"1,20 #",1.2,"8,02 #",8.0167,57 #,56.6167,0 #,0,"1,57 #",1.5667,"0,30 #",0.3,65 #,64.9167,0%,0,100%,10000
3-9-2023 03:00:00 - 04:00:00,45172.08333,58 #,57.9667,"0,28 #",0.2833,"6,97 #",6.9667,51 #,50.7167,0 #,0,"0,28 #",0.2833,"0,25 #",0.25,57 #,57.4667,0%,0,100%,10000
3-9-2023 04:00:00 - 05:00:00,45172.125,58 #,58.4,"0,50 #",0.5,"8,55 #",8.55,49 #,49.35,0 #,0,"0,43 #",0.4333,"0,08 #",0.0833,58 #,58.0667,0%,0,100%,10000
3-9-2023 05:00:00 - 06:00:00,45172.16667,58 #,58.1667,"1,20 #",1.2,"7,53 #",7.5333,49 #,49.4333,0 #,0,"0,42 #",0.4167,0 #,0,58 #,58.1333,0%,0,100%,10000
3-9-2023 06:00:00 - 07:00:00,45172.20833,58 #,58.3833,"1,18 #",1.1833,"8,05 #",8.05,49 #,49.15,0 #,0,"0,73 #",0.7333,"0,25 #",0.25,58 #,57.5333,0%,0,100%,10000
3-9-2023 07:00:00 - 08:00:00,45172.25,59 #,58.9833,"0,48 #",0.4833,"8,80 #",8.8,50 #,49.7,0 #,0,0 #,0,"0,08 #",0.0833,59 #,59.1333,0%,0,100%,10000
3-9-2023 08:00:00 - 09:00:00,45172.29167,59 #,59.1833,"0,27 #",0.2667,"9,23 #",9.2333,50 #,49.6833,0 #,0,"0,22 #",0.2167,"0,20 #",0.2,59 #,58.8,0%,0,100%,10000
3-9-2023 09:00:00 - 10:00:00,45172.33333,60 #,59.6333,"0,42 #",0.4167,"9,95 #",9.95,49 #,49.2667,0 #,0,"0,23 #",0.2333,"0,28 #",0.2833,59 #,59.2667,0%,0,100%,10000
3-9-2023 10:00:00 - 11:00:00,45172.375,60 #,60.2333,"1,03 #",1.0333,11 #,11.0167,48 #,48.1833,0 #,0,"0,33 #",0.3333,"0,57 #",0.5667,59 #,59.4167,0%,0,100%,10000
3-9-2023 11:00:00 - 12:00:00,45172.41667,64 #,63.6,"2,12 #",2.1167,12 #,11.6333,50 #,49.85,0 #,0,"0,85 #",0.85,"0,20 #",0.2,63 #,62.8833,0%,0,100%,10000
3-9-2023 12:00:00 - 13:00:00,45172.45833,65 #,65.25,"0,67 #",0.6667,13 #,13.1,51 #,51.4833,0 #,0,"0,93 #",0.9333,"0,25 #",0.25,65 #,64.5,0%,0,100%,10000
3-9-2023 13:00:00 - 14:00:00,45172.5,72 #,71.9667,"0,43 #",0.4333,14 #,13.8333,58 #,57.7,0 #,0,"0,53 #",0.5333,"0,38 #",0.3833,71 #,71.3,0%,0,100%,10000
3-9-2023 14:00:00 - 15:00:00,45172.54167,70 #,70.2333,"0,58 #",0.5833,13 #,12.85,57 #,56.8,0 #,0,"0,60 #",0.6,"0,38 #",0.3833,70 #,69.5667,0%,0,100%,10000
3-9-2023 15:00:00 - 16:00:00,45172.58333,67 #,66.8667,"0,63 #",0.6333,14 #,13.9667,52 #,52.2667,0 #,0,"1,35 #",1.35,"0,42 #",0.4167,65 #,65.4,0%,0,100%,10000
3-9-2023 16:00:00 - 17:00:00,45172.625,67 #,66.5,"0,50 #",0.5,13 #,12.8,53 #,53.2,0 #,0,"0,75 #",0.75,"0,23 #",0.2333,66 #,66.2167,0%,0,100%,10000
3-9-2023 17:00:00 - 18:00:00,45172.66667,63 #,62.6833,"1,33 #",1.3333,11 #,11.2667,50 #,50.0833,0 #,0,"0,83 #",0.8333,"0,13 #",0.1333,62 #,62.4,0%,0,100%,10000
3-9-2023 18:00:00 - 19:00:00,45172.70833,61 #,60.8167,"1,27 #",1.2667,11 #,11,49 #,48.55,0 #,0,"0,47 #",0.4667,"0,18 #",0.1833,61 #,60.8,0%,0,100%,10000
3-9-2023 19:00:00 - 20:00:00,45172.75,62 #,61.7333,"1,35 #",1.35,11 #,11.0333,49 #,49.35,0 #,0,"1,10 #",1.1,"0,28 #",0.2833,61 #,61.4833,0%,0,100%,10000
3-9-2023 20:00:00 - 21:00:00,45172.79167,60 #,60.2167,"1,17 #",1.1667,"9,23 #",9.2333,50 #,49.8167,0 #,0,"0,43 #",0.4333,"0,25 #",0.25,60 #,60.3167,0%,0,100%,10000
3-9-2023 21:00:00 - 22:00:00,45172.83333,61 #,60.9,"1,28 #",1.2833,"9,90 #",9.9,50 #,49.7167,0 #,0,"0,55 #",0.55,"0,08 #",0.0833,61 #,60.7833,0%,0,100%,10000
3-9-2023 22:00:00 - 23:00:00,45172.875,63 #,62.8,"1,32 #",1.3167,"9,25 #",9.25,52 #,52.2333,0 #,0,"0,70 #",0.7,0 #,0,62 #,62.45,0%,0,100%,10000
3-9-2023 23:00:00 - 00:00:00,45172.91667,61 #,61.0167,"1,23 #",1.2333,"9,33 #",9.3333,50 #,50.45,0 #,0,"0,25 #",0.25,0 #,0,61 #,61.3333,0%,0,100%,10000
4-9-2023 00:00:00 - 01:00:00,45172.95833,61 #,60.9833,"2,27 #",2.2667,"8,38 #",8.3833,50 #,50.3333,0 #,0,"0,87 #",0.8667,"0,18 #",0.1833,60 #,59.9333,0%,0,100%,10000
4-9-2023 01:00:00 - 02:00:00,45173,60 #,59.5667,"2,47 #",2.4667,"9,02 #",9.0167,48 #,48.0833,0 #,0,"0,65 #",0.65,"0,17 #",0.1667,59 #,58.75,0%,0,100%,10000
4-9-2023 02:00:00 - 03:00:00,45173.04167,58 #,57.55,"2,55 #",2.55,"7,80 #",7.8,47 #,47.2,0 #,0,"0,43 #",0.4333,"0,08 #",0.0833,57 #,57.0333,0%,0,100%,10000
4-9-2023 03:00:00 - 04:00:00,45173.08333,57 #,57.2,"2,40 #",2.4,"8,38 #",8.3833,46 #,46.4167,0 #,0,"0,85 #",0.85,"0,08 #",0.0833,56 #,56.35,0%,0,100%,10000
4-9-2023 04:00:00 - 05:00:00,45173.125,57 #,56.8511,"2,11 #",2.1064,"7,47 #",7.4681,47 #,47.2766,0 #,0,"0,32 #",0.3191,"0,23 #",0.234,57 #,56.8511,0%,0,100%,10000
4-9-2023 05:00:00 - 06:00:00,45173.16667,58 #,57.6833,"2,42 #",2.4167,"6,55 #",6.55,49 #,48.7167,0 #,0,"0,33 #",0.3333,"0,17 #",0.1667,57 #,57.25,0%,0,100%,10000
4-9-2023 06:00:00 - 07:00:00,45173.20833,59 #,58.65,"2,42 #",2.4167,"6,78 #",6.7833,49 #,49.45,0 #,0,"0,33 #",0.3333,"0,08 #",0.0833,59 #,58.5167,0%,0,100%,10000
4-9-2023 07:00:00 - 08:00:00,45173.25,63 #,62.8167,"2,38 #",2.3833,"8,63 #",8.6333,52 #,51.8,0 #,0,"0,32 #",0.3167,"0,60 #",0.6,62 #,62,0%,0,100%,10000
4-9-2023 08:00:00 - 09:00:00,45173.29167,105 #,105.1311,"3,57 #",3.5738,28 #,27.8525,74 #,73.7049,0 #,0,"3,80 #",3.8033,"1,84 #",1.8361,102 #,102.2459,0%,0,100%,10000
4-9-2023 09:00:00 - 10:00:00,45173.33333,289 #,288.661,"7,08 #",7.0847,66 #,66.4407,215 #,215.1356,0 #,0,18 #,17.5085,"4,66 #",4.661,273 #,272.9153,0%,0,100%,10000
4-9-2023 10:00:00 - 11:00:00,45173.375,355 #,355.3115,"7,74 #",7.7377,72 #,71.8689,276 #,275.7049,0 #,0,18 #,17.5902,"5,56 #",5.5574,336 #,336.2295,0%,0,100%,10000
4-9-2023 11:00:00 - 12:00:00,45173.41667,387 #,386.7833,"7,30 #",7.3,82 #,81.7667,298 #,297.7167,0 #,0,17 #,17.3,"5,72 #",5.7167,368 #,368.05,0%,0,100%,10000
4-9-2023 12:00:00 - 13:00:00,45173.45833,343 #,343.3559,"9,36 #",9.3559,87 #,87.4237,247 #,246.5763,0 #,0,20 #,20.3898,"5,68 #",5.678,321 #,320.9492,0%,0,100%,10000
4-9-2023 13:00:00 - 14:00:00,45173.5,358 #,357.9333,11 #,10.6833,80 #,79.7333,268 #,267.5167,0 #,0,17 #,17.3,"6,52 #",6.5167,339 #,339.3667,0%,0,100%,10000
4-9-2023 14:00:00 - 15:00:00,45173.54167,356 #,355.8333,"9,82 #",9.8167,66 #,65.9667,280 #,280.05,0 #,0,13 #,13.45,"4,78 #",4.7833,343 #,342.8333,0%,0,100%,10000
4-9-2023 15:00:00 - 16:00:00,45173.58333,350 #,349.8833,"7,55 #",7.55,66 #,66.3333,276 #,276,0 #,0,11 #,11.3,"4,55 #",4.55,339 #,339.3833,0%,0,100%,10000
4-9-2023 16:00:00 - 17:00:00,45173.625,295 #,294.7705,"8,16 #",8.1639,67 #,66.7705,220 #,219.8361,0 #,0,17 #,16.7541,"4,51 #",4.5082,276 #,276.082,0%,0,100%,10000
4-9-2023 17:00:00 - 18:00:00,45173.66667,171 #,171.0333,"5,92 #",5.9167,40 #,39.7167,125 #,125.4,0 #,0,11 #,11.1,"2,43 #",2.4333,159 #,159.1,0%,0,100%,10000
4-9-2023 18:00:00 - 19:00:00,45173.70833,96 #,96.1525,"4,81 #",4.8136,22 #,22.3898,69 #,68.9492,0 #,0,"5,69 #",5.6949,"1,32 #",1.322,90 #,90.4237,0%,0,100%,10000
4-9-2023 19:00:00 - 20:00:00,45173.75,70 #,70.3,"3,50 #",3.5,14 #,13.7667,53 #,53.0333,0 #,0,"2,92 #",2.9167,"0,55 #",0.55,67 #,67.0167,0%,0,100%,10000
4-9-2023 20:00:00 - 21:00:00,45173.79167,66 #,65.6167,"2,93 #",2.9333,11 #,11.2,51 #,51.4833,0 #,0,"2,25 #",2.25,"0,28 #",0.2833,64 #,63.5333,0%,0,100%,10000
4-9-2023 21:00:00 - 22:00:00,45173.83333,66 #,65.7667,"2,47 #",2.4667,10 #,10.0167,53 #,53.2833,0 #,0,"0,92 #",0.9167,"0,47 #",0.4667,65 #,64.6167,0%,0,100%,10000
4-9-2023 22:00:00 - 23:00:00,45173.875,62 #,62.4918,"1,85 #",1.8525,"8,38 #",8.377,52 #,52.2623,0 #,0,"0,89 #",0.8852,"0,11 #",0.1148,62 #,61.7213,0%,0,100%,10000
4-9-2023 23:00:00 - 00:00:00,45173.91667,60 #,60.0508,"1,44 #",1.4407,"8,25 #",8.2542,50 #,50.3559,0 #,0,"0,80 #",0.7966,0 #,0,59 #,59.339,0%,0,100%,10000
5-9-2023 00:00:00 - 01:00:00,45173.95833,57 #,57,"1,84 #",1.8361,"7,57 #",7.5738,48 #,47.5902,0 #,0,"0,67 #",0.6721,"0,10 #",0.0984,56 #,56.4098,0%,0,100%,10000
5-9-2023 01:00:00 - 02:00:00,45174,57 #,56.9333,"1,58 #",1.5833,"7,57 #",7.5667,48 #,47.7833,0 #,0,"0,23 #",0.2333,"0,17 #",0.1667,57 #,56.6667,0%,0,100%,10000
5-9-2023 02:00:00 - 03:00:00,45174.04167,56 #,56.3833,"1,12 #",1.1167,"6,75 #",6.75,49 #,48.5167,0 #,0,"0,08 #",0.0833,"0,08 #",0.0833,57 #,56.5333,0%,0,100%,10000
5-9-2023 03:00:00 - 04:00:00,45174.08333,52 #,51.8305,"0,86 #",0.8644,"7,25 #",7.2542,44 #,43.7119,0 #,0,"0,34 #",0.339,0 #,0,52 #,51.6441,0%,0,100%,10000
5-9-2023 04:00:00 - 05:00:00,45174.125,56 #,56.0164,"1,16 #",1.1639,"7,79 #",7.7869,47 #,47.0656,0 #,0,"0,25 #",0.2459,"0,08 #",0.082,56 #,56,0%,0,100%,10000
5-9-2023 05:00:00 - 06:00:00,45174.16667,56 #,56.4237,"0,49 #",0.4915,"7,69 #",7.6949,48 #,48.2373,0 #,0,"0,20 #",0.2034,0 #,0,57 #,56.5593,0%,0,100%,10000
5-9-2023 06:00:00 - 07:00:00,45174.20833,57 #,56.5333,"0,78 #",0.7833,"7,80 #",7.8,48 #,47.95,0 #,0,"0,12 #",0.1167,0 #,0,56 #,56.4667,0%,0,100%,10000
5-9-2023 07:00:00 - 08:00:00,45174.25,60 #,60.0667,"0,65 #",0.65,11 #,10.7667,49 #,48.65,0 #,0,"0,87 #",0.8667,"0,53 #",0.5333,59 #,59.1667,0%,0,100%,10000
5-9-2023 08:00:00 - 09:00:00,45174.29167,92 #,92.1333,"2,28 #",2.2833,25 #,25.05,65 #,64.8,0 #,0,"2,88 #",2.8833,"0,80 #",0.8,91 #,91.4167,0%,0,100%,10000
5-9-2023 09:00:00 - 10:00:00,45174.33333,308 #,307.9667,"6,63 #",6.6333,63 #,62.7167,239 #,238.6167,0 #,0,12 #,12.3667,"4,62 #",4.6167,298 #,297.6833,0%,0,100%,10000
5-9-2023 10:00:00 - 11:00:00,45174.375,363 #,362.7,"6,77 #",6.7667,60 #,60.2833,296 #,295.65,0 #,0,14 #,14.4667,"3,95 #",3.95,349 #,349.1333,0%,0,100%,10000
5-9-2023 11:00:00 - 12:00:00,45174.41667,375 #,375.1833,"8,73 #",8.7333,76 #,75.8833,291 #,290.5667,0 #,0,17 #,17.1,"6,92 #",6.9167,356 #,355.7833,0%,0,100%,10000
5-9-2023 12:00:00 - 13:00:00,45174.45833,337 #,336.5333,12 #,11.6833,87 #,87.2667,238 #,237.5833,0 #,0,23 #,22.6167,"7,13 #",7.1333,311 #,311.1667,0%,0,100%,10000
5-9-2023 13:00:00 - 14:00:00,45174.5,376 #,375.7,"8,12 #",8.1167,66 #,65.75,302 #,301.8333,0 #,0,14 #,14.3,"3,82 #",3.8167,363 #,362.6833,0%,0,100%,10000
5-9-2023 14:00:00 - 15:00:00,45174.54167,377 #,376.5167,"9,05 #",9.05,59 #,59.3667,308 #,308.1,0 #,0,13 #,13.2333,"4,63 #",4.6333,364 #,364.3333,0%,0,100%,10000
5-9-2023 15:00:00 - 16:00:00,45174.58333,367 #,366.7333,"8,08 #",8.0833,58 #,58.0167,301 #,300.6333,0 #,0,13 #,13.45,"4,02 #",4.0167,354 #,353.6833,0%,0,100%,10000
5-9-2023 16:00:00 - 17:00:00,45174.625,289 #,289.3,11 #,10.6667,62 #,62.4,216 #,216.2333,0 #,0,19 #,19.1,"4,53 #",4.5333,269 #,268.5833,0%,0,100%,10000
5-9-2023 17:00:00 - 18:00:00,45174.66667,166 #,165.9,"5,52 #",5.5167,44 #,44.4667,116 #,115.9167,0 #,0,14 #,14.3,"2,90 #",2.9,150 #,150.0667,0%,0,100%,10000
5-9-2023 18:00:00 - 19:00:00,45174.70833,82 #,82.3833,"2,55 #",2.55,18 #,18.3667,61 #,61.4667,0 #,0,"3,10 #",3.1,"0,57 #",0.5667,80 #,79.5833,0%,0,100%,10000
5-9-2023 19:00:00 - 20:00:00,45174.75,69 #,68.7167,"1,20 #",1.2,13 #,13.25,54 #,54.2667,0 #,0,"1,47 #",1.4667,"0,33 #",0.3333,67 #,67.2,0%,0,100%,10000
5-9-2023 20:00:00 - 21:00:00,45174.79167,66 #,66.4833,"1,02 #",1.0167,12 #,11.6667,54 #,53.8,0 #,0,"1,03 #",1.0333,"0,02 #",0.0167,66 #,66.05,0%,0,100%,10000
5-9-2023 21:00:00 - 22:00:00,45174.83333,63 #,62.6,"1,17 #",1.1667,"9,48 #",9.4833,52 #,51.95,0 #,0,"1,60 #",1.6,"0,30 #",0.3,61 #,60.7,0%,0,100%,10000
5-9-2023 22:00:00 - 23:00:00,45174.875,60 #,60,"0,45 #",0.45,"8,35 #",8.35,51 #,51.2,0 #,0,"1,20 #",1.2,"0,08 #",0.0833,59 #,58.8167,0%,0,100%,10000
5-9-2023 23:00:00 - 00:00:00,45174.91667,61 #,60.6667,"0,53 #",0.5333,"8,53 #",8.5333,52 #,51.6,0 #,0,"0,92 #",0.9167,0 #,0,60 #,60.1833,0%,0,100%,10000
